     ====> Interaction part
Nucleon-Nucleon interaction model: who knows?
Type of calculation: magical
Number and value of starting energies:   1
  0.000000E+00
Total number of twobody matx elements:         34320    5781    22758    5781                    
Matrix elements with the following legend, NOTE no hw/A for Hcom, pipj and rirj
      Tz      Parity    J2        a        b        c        d     <ab|V|cd>    <ab|0|cd>    <ab|0|cd>    <ab|0|cd>
      -1        0        0       13       13       23       23     2.393618     0.000000     0.000000     0.000000
      -1        0        0       13       13       25       25    -1.595515     0.000000     0.000000     0.000000
      -1        0        0       13       13       27       27     0.142654     0.000000     0.000000     0.000000
      -1        0        0       13       13       29       29    -0.286255     0.000000     0.000000     0.000000
      -1        0        0       15       15       15       15     1.968022     0.000000     0.000000     0.000000
      -1        0        0       15       15       17       17    -0.695035     0.000000     0.000000     0.000000
      -1        0        0       15       15       19       19     0.132151     0.000000     0.000000     0.000000
      -1        0        0       15       15       21       21     2.529655     0.000000     0.000000     0.000000
      -1        0        0       15       15       23       23    -4.565070     0.000000     0.000000     0.000000
      -1        0        0       15       15       25       25     0.065706     0.000000     0.000000     0.000000
      -1        0        0       15       15       27       27    -2.495322     0.000000     0.000000     0.000000
      -1        0        0       15       15       29       29    -0.247904     0.000000     0.000000     0.000000
      -1        0        0       17       17       17       17    -0.519157     0.000000     0.000000     0.000000
      -1        0        0       17       17       19       19    -2.055614     0.000000     0.000000     0.000000
      -1        0        0       17       17       21       21     0.177866     0.000000     0.000000     0.000000
      -1        0        0       17       17       23       23     0.633188     0.000000     0.000000     0.000000
      -1        0        0       17       17       25       25    -2.706147     0.000000     0.000000     0.000000
      -1        0        0       17       17       27       27    -0.229815     0.000000     0.000000     0.000000
      -1        0        0       17       17       29       29    -2.692475     0.000000     0.000000     0.000000
      -1        0        0       19       19       19       19     1.131189     0.000000     0.000000     0.000000
      -1        0        0       19       19       21       21     0.577052     0.000000     0.000000     0.000000
      -1        0        0       19       19       23       23    -0.114518     0.000000     0.000000     0.000000
      -1        0        0       19       19       25       25     0.621693     0.000000     0.000000     0.000000
      -1        0        0       19       19       27       27    -3.688380     0.000000     0.000000     0.000000
      -1        0        0       19       19       29       29    -1.975276     0.000000     0.000000     0.000000
      -1        0        0       21       21       21       21     1.904735     0.000000     0.000000     0.000000
      -1        0        0       21       21       23       23    -3.016530     0.000000     0.000000     0.000000
      -1        0        0       21       21       25       25     0.499435     0.000000     0.000000     0.000000
      -1        0        0       21       21       27       27     0.017995     0.000000     0.000000     0.000000
      -1        0        0       21       21       29       29     0.215351     0.000000     0.000000     0.000000
      -1        0        0       23       23       23       23     2.579252     0.000000     0.000000     0.000000
