     ====> Interaction part
Nucleon-Nucleon interaction model: who knows?
Type of calculation: magical
Number and value of starting energies:   1
  0.000000E+00
Total number of twobody matx elements:         34320           78000        311032          78000
Matrix elements with the following legend, NOTE no hw/A for Hcom, pipj and rirj
      Tz      Parity    J2        a        b        c        d     <ab|V|cd>    <ab|0|cd>    <ab|0|cd>    <ab|0|cd>
      -1        0        0        8       26       24       24     0.106324     0.000000     0.000000     0.000000
      -1        0        0        8       26       26       26     2.094876     0.000000     0.000000     0.000000
      -1        0        0        8       26       28       28     0.336960     0.000000     0.000000     0.000000
      -1        0        0       10       10       10       10    -1.771551     0.000000     0.000000     0.000000
      -1        0        0       10       10       10       28    -0.739023     0.000000     0.000000     0.000000
      -1        0        0       10       10       12       12     0.823921     0.000000     0.000000     0.000000
      -1        0        0       10       10       14       14     0.714834     0.000000     0.000000     0.000000
      -1        0        0       10       10       16       16    -0.102414     0.000000     0.000000     0.000000
      -1        0        0       10       10       18       18    -0.202511     0.000000     0.000000     0.000000
      -1        0        0       10       10       20       20    -0.334911     0.000000     0.000000     0.000000
      -1        0        0       10       10       22       22    -0.299250     0.000000     0.000000     0.000000
      -1        0        0       10       10       24       24     0.109988     0.000000     0.000000     0.000000
      -1        0        0       10       10       26       26     0.320235     0.000000     0.000000     0.000000
      -1        0        0       10       10       28       28    -0.173018     0.000000     0.000000     0.000000
      -1        0        0       10       28       10       28    -2.172200     0.000000     0.000000     0.000000
      -1        0        0       10       28       12       12    -0.216704     0.000000     0.000000     0.000000
      -1        0        0       10       28       14       14    -0.189335     0.000000     0.000000     0.000000
      -1        0        0       10       28       16       16    -3.294705     0.000000     0.000000     0.000000
      -1        0        0       10       28       18       18    -2.452338     0.000000     0.000000     0.000000
      -1        0        0       10       28       20       20     0.490266     0.000000     0.000000     0.000000
      -1        0        0       10       28       22       22     0.439152     0.000000     0.000000     0.000000
      -1        0        0       10       28       24       24     1.357428     0.000000     0.000000     0.000000
      -1        0        0       10       28       26       26     0.995938     0.000000     0.000000     0.000000
      -1        0        0       10       28       28       28    -0.414522     0.000000     0.000000     0.000000
      -1        0        0       12       12       12       12     0.915177     0.000000     0.000000     0.000000
      -1        0        0       12       12       14       14    -3.614713     0.000000     0.000000     0.000000
      -1        0        0       12       12       16       16    -0.217951     0.000000     0.000000     0.000000
      -1        0        0       12       12       18       18    -0.548221     0.000000     0.000000     0.000000
      -1        0        0       12       12       20       20    -3.934085     0.000000     0.000000     0.000000
      -1        0        0       12       12       22       22     2.390533     0.000000     0.000000     0.000000
      -1        0        0       12       12       24       24    -1.593069     0.000000     0.000000     0.000000
      -1        0        0       12       12       26       26     0.133235     0.000000     0.000000     0.000000
      -1        0        0       12       12       28       28    -0.288279     0.000000     0.000000     0.000000
      -1        0        0       14       14       14       14     1.961208     0.000000     0.000000     0.000000
      -1        0        0       14       14       16       16    -0.652015     0.000000     0.000000     0.000000
      -1        0        0       14       14       18       18     0.144426     0.000000     0.000000     0.000000
      -1        0        0       14       14       20       20     2.527226     0.000000     0.000000     0.000000
      -1        0        0       14       14       22       22    -4.564441     0.000000     0.000000     0.000000
      -1        0        0       14       14       24       24     0.059203     0.000000     0.000000     0.000000
      -1        0        0       14       14       26       26    -2.488288     0.000000     0.000000     0.000000
      -1        0        0       14       14       28       28    -0.250558     0.000000     0.000000     0.000000
      -1        0        0       16       16       16       16    -0.454267     0.000000     0.000000     0.000000
      -1        0        0       16       16       18       18    -2.087235     0.000000     0.000000     0.000000
      -1        0        0       16       16       20       20     0.168404     0.000000     0.000000     0.000000
      -1        0        0       16       16       22       22     0.610588     0.000000     0.000000     0.000000
