6815 :    6   9   3  16      1   -1.494530	   6   9   3  16      1   -2.253476
6817 :    6   9  15  16      1    1.611110	   6   9  15  16      1    1.162111
6818 :    6   9   2  17      1   -0.571795	   6   9   2  17      1    0.187151
6819 :    6   9   4  17      1   -3.610631	   6   9   4  17      1    0.632010
6820 :    6   9  14  17      1   -1.224330	   6   9  14  17      1   -0.775331
6821 :    6   9  16  17      1   -0.583101	   6   9  16  17      1   -0.103101
6822 :    6   9   3  18      1   -3.309321	   6   9   3  18      1    0.933320
6824 :    6   9  17  18      1   -3.486167	   6   9  17  18      1   -0.802885
6869 :    8   9   3  14      1   -2.682650	   8   9   3  14      1   -4.102508
6871 :    8   9   2  15      1    2.682650	   8   9   2  15      1    4.102508
6873 :    8   9  14  15      1   -1.982240	   8   9  14  15      1  -11.411240
6874 :    8   9   3  16      1   -0.469307	   8   9   3  16      1   -0.005506
6875 :    8   9   5  16      1    0.625266	   8   9   5  16      1   -0.317544
6876 :    8   9  15  16      1    0.088996	   8   9  15  16      1    0.986992
6877 :    8   9   2  17      1    0.469307	   8   9   2  17      1    0.005506
6878 :    8   9   4  17      1   -0.625266	   8   9   4  17      1    0.317544
6879 :    8   9  14  17      1   -0.088996	   8   9  14  17      1   -0.986992
6880 :    8   9  16  17      1    0.484370	   8   9  16  17      1    0.191037
6881 :    8   9   3  18      1    1.375640	   8   9   3  18      1    2.318450
6882 :    8   9   5  18      1    1.158980	   8   9   5  18      1    4.492316
6883 :    8   9  17  18      1    0.960322	   8   9  17  18      1    1.556607
6884 :    8   9   2  19      1   -1.375640	   8   9   2  19      1   -2.318450
6885 :    8   9   4  19      1   -1.158980	   8   9   4  19      1   -4.492316
6886 :    8   9  16  19      1   -0.960322	   8   9  16  19      1   -1.556607
6887 :    8   9  18  19      1   -0.943080	   8   9  18  19      1   -3.051264
6935 :    1  10   2  17      1   -3.734023	   1  10   2  17      1    0.348460
6936 :    1  10   4  17      1   -5.653244	   1  10   4  17      1   -2.001760
6942 :    1  10   2  19      1    4.338394	   1  10   2  19      1    0.686910
6943 :    1  10   4  19      1   -1.161146	   1  10   4  19      1   -2.452140
6984 :    9  10   3  14      1   -2.732170	   9  10   3  14      1    2.287790
6989 :    9  10   3  16      1    1.870027	   9  10   3  16      1    2.466312
6990 :    9  10   5  16      1   -1.543045	   9  10   5  16      1   -2.209713
6992 :    9  10   2  17      1   -0.035363	   9  10   2  17      1   -1.526075
6993 :    9  10   4  17      1   -1.337835	   9  10   4  17      1    0.328831
6994 :    9  10  14  17      1   -9.093874	   9  10  14  17      1   -1.156620
6995 :    9  10  16  17      1   -0.222972	   9  10  16  17      1   -1.165782
6996 :    9  10   3  18      1    1.905975	   9  10   3  18      1    2.572643
6997 :    9  10   5  18      1   -5.395597	   9  10   5  18      1   -7.281214
6998 :    9  10  17  18      1    0.008245	   9  10  17  18      1    1.062337
6999 :    9  10   2  19      1   -0.231780	   9  10   2  19      1   -1.898446
7000 :    9  10   4  19      1   -0.726187	   9  10   4  19      1    3.987860
7001 :    9  10  16  19      1    0.252825	   9  10  16  19      1   -0.801267
